Model,Accuracy,Precision,Recall,F1 Score,AUC Score,MCC Score
Logistic Regression,0.8585365853658536,0.8571428571428571,0.8297872340425532,0.8432432432432433,0.8563350584627181,0.7147280770769342
Decision Tree,0.7414634146341463,0.735632183908046,0.6808510638297872,0.7071823204419889,0.7368219283112901,0.47750364919243227
KNN,0.8439024390243902,0.8690476190476191,0.776595744680851,0.8202247191011236,0.838748322790876,0.6864362929647827
Naive Bayes,0.8439024390243902,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8428215449492046,0.685643089898409
Random Forest,0.848780487804878,0.8315789473684211,0.8404255319148937,0.8359788359788359,0.8481406938853747,0.6957481451975884
